amfi_code,scheme_name,fund_house,category,return_3yr_cagr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,composite_score,rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,0.3400091602163293,1.4482911703262595,0.2698375144191807,1.46,-0.11265729075028275,86.25,1
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,0.317775371512347,1.1801011976606495,0.2926358334175106,1.36,-0.18188513572116294,82.25,2
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.2958277033726251,1.3067439695428407,0.27330465038306057,1.45,-0.1297396816518679,82.0,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,0.32442459421956116,1.0936987435346308,0.2719535450128533,1.38,-0.16217208574644848,80.75,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.3248742855621496,1.0265242847993004,0.2119482701352573,0.8,-0.12588275606922517,80.0,5
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,0.35111802096428524,0.9982309868636414,0.2607666908004223,1.38,-0.20960883862039192,77.0,6
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.3045652442030289,1.2082665673727175,0.23201007160635082,1.54,-0.1501238549864533,74.8125,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,0.2917890157839378,1.2349300257743296,0.2827036785246582,1.6,-0.1639674294693263,73.6875,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,0.2896769452874166,1.0272133278753697,0.21399784776051212,1.6,-0.11291596329323073,68.1875,9
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.2666992200118774,0.9453082575156093,0.3033696538698332,1.43,-0.2870600572176455,67.375,10
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.268699908289022,1.1321218524747245,0.26598577542043045,1.61,-0.17248105753451382,66.75,11
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.27000426614519246,0.9497958246616031,0.3005787817097677,1.52,-0.31171900300634214,66.6875,12
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,0.22652359830098634,1.0816591793457044,0.21829397904608644,1.51,-0.17414075086657232,66.5625,13
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.16267372294624916,0.9532794968660103,0.1986859936686296,0.66,-0.11803493502764295,66.0,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.18434488610520172,0.7757902498211207,0.17729754927531766,0.92,-0.15200013055606398,59.25,15
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.20008208380471482,0.6648569985490619,0.1513635464823924,0.89,-0.1165062450540909,59.0,16
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.2108997654925684,0.6452074382933215,0.15643835948169668,0.72,-0.18629743138595511,58.5625,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,0.1966726206830185,0.8170993373494368,0.17048756803412696,1.57,-0.1085986215250232,55.0,18
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,0.13978381933703043,0.7979728586052847,0.17703302365844073,1.42,-0.13897862823061635,53.625,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,0.14748035533586012,0.9262873467360146,0.20873010086942337,1.52,-0.1527259422823477,53.4375,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,0.1842199653744454,0.6488787755249532,0.1625385327998104,1.41,-0.1982565826298267,51.125,21
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.07394286300360076,0.4957233929533124,0.06746210411099539,0.74,-0.0009773140045925555,48.0,22
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.20816771175535864,0.12961449795669325,0.08232801295222093,0.75,-0.21751396370148224,47.625,23
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,0.25556187904126526,0.6195175900829828,0.16211256794033255,1.64,-0.21539827112383225,46.1875,24
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,0.18044206486636138,0.4640374492204777,0.13173190226099432,1.54,-0.14844576917771746,43.6875,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.11245222866621418,0.3006119210425478,0.11989100971217971,0.78,-0.21117279560132118,42.125,26
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.06695971624586994,-0.08874729621557331,0.06455677495375998,0.6,-0.0011629327956168556,41.125,27
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.1726727508371786,0.49427253786723496,0.13042924450705445,1.59,-0.1757361416468729,39.375,28
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,0.08007927728656083,0.4484340089089914,0.1750072167561127,1.53,-0.2334488614483311,38.3125,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.040622050237771434,-0.356629507514368,0.05074772999976104,0.55,-0.08316361763638702,34.625,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.05840358798463097,-0.22657538662791596,0.05620895216638369,0.77,-0.04328728923970093,33.75,31
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,0.06315784491375509,-0.8155673679088278,0.060861457957871144,0.79,-0.0016224980244717857,32.875,32
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,0.039163899571040384,-0.5670947928476847,0.042817920315060876,0.56,-0.04308263824636349,31.875,33
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.07756003551327284,0.07599984804658917,0.0780443887615508,1.56,-0.24003511326274884,27.625,34
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,-0.01337386614488112,-0.05718662582817997,0.048824215945539845,0.72,-0.5257422117012851,23.9375,35
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,0.005258871209757432,0.030784850954585913,0.0689952982167755,1.64,-0.1440161790933726,22.5625,36
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,-0.04152381044854481,0.1626607692864677,0.10897091901704538,1.53,-0.3544691649336603,22.0625,37
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,-0.11705806723995271,-0.07597357117478923,0.048015953637759554,1.38,-0.5167775370852656,17.25,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,0.01292649342495622,-0.2015170675596694,0.03747580763443281,1.55,-0.24734440880673303,14.375,39
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-0.007674063178547241,-0.20583160785470314,0.028969397866379445,1.51,-0.2800112356639287,14.3125,40
